Index,Label
1397,5
865,3
1763,6
1807,6
1536,5
979,3
331,1
150,1
1244,4
1020,3
75,0
971,3
835,3
382,1
1414,5
1163,4
328,1
1704,6
370,1
1553,5
1448,5
653,2
1725,6
643,2
557,2
1939,7
1827,7
1296,4
1191,4
393,1
1127,4
429,1
880,3
972,3
851,3
1759,6
724,2
61,0
1213,4
1699,6
1861,7
1802,6
831,3
718,2
733,2
1912,7
1667,6
475,1
1585,6
1084,4
921,3
562,2
180,0
605,2
81,0
1911,7
708,2
1700,6
155,1
1751,6
848,3
1078,4
1231,4
200,1
1264,4
1605,6
369,1
673,2
466,1
1514,5
754,3
84,0
242,1
140,0
1928,7
1785,6
666,2
1452,5
912,3
1043,4
704,2
90,0
346,1
441,1
1343,5
185,0
1883,7
1920,7
1232,4
1165,4
1451,5
532,2
1317,5
876,3
767,3
823,3
1551,5
210,1
687,2
1324,5
1922,7
1540,5
1067,4
629,2
43,0
418,1
1656,6
1589,6
654,2
227,1
699,2
796,3
134,0
1924,7
1650,6
1851,6
1539,5
1698,6
896,3
1727,6
988,3
462,1
448,1
1153,4
1310,5
1242,4
193,0
1004,3
1591,6
604,2
558,2
1788,6
522,2
1586,6
380,1
1141,4
1263,5
361,1
456,1
225,1
259,1
1435,5
1550,5
1064,4
857,3
574,2
1357,5
1195,4
1632,6
894,3
278,1
669,3
802,3
649,2
1373,5
1649,6
485,2
633,2
1777,6
747,3
826,3
1874,7
1459,5
1433,5
1169,4
432,1
1063,4
872,3
657,2
1774,6
955,3
1848,6
261,1
1910,7
1039,4
1941,7
1276,5
1864,7
272,1
340,1
1590,6
431,1
425,1
148,0
1293,4
1795,6
113,0
137,0
139,0
245,1
1577,6
1412,5
1886,7
1696,6
1817,6
1509,5
1121,4
1719,6
170,0
239,1
1059,4
1723,6
859,3
693,2
701,2
264,1
1702,6
190,1
798,3
812,3
1688,6
1336,5
1842,7
1855,7
1199,4
250,1
1556,6
1277,5
365,1
790,3
455,2
726,2
1909,7
688,2
1812,6
1424,5
774,2
1065,4
1108,4
696,2
1042,4
492,2
709,2
295,1
406,1
98,0
1468,5
684,2
729,2
1057,4
1226,4
217,1
1341,5
93,0
1434,5
930,3
1179,4
302,1
405,1
330,1
676,2
409,1
1407,5
855,3
1664,6
538,2
56,0
1502,5
1626,6
943,3
28,0
1876,7
1808,6
256,1
607,2
1824,6
1573,6
606,2
1372,5
212,1
929,3
1617,6
1744,6
1479,5
1618,6
1595,6
1399,5
1599,6
300,1
1587,6
1027,4
818,3
1771,6
966,3
1720,6
821,3
505,2
1496,5
601,2
1764,6
1517,6
329,1
1090,4
1083,4
1741,6
1563,6
1265,5
1931,7
569,2
281,1
899,3
1403,5
1432,5
898,3
1447,5
959,3
1194,4
411,1
1022,3
402,1
852,3
11,0
310,1
1003,4
115,0
1784,6
293,1
498,2
592,2
1897,7
1015,4
130,0
273,1
1820,6
176,1
1155,4
807,3
1934,7
294,1
473,1
1036,4
659,2
123,0
42,0
464,1
1854,6
476,1
1849,6
1760,6
461,1
378,1
1734,6
542,2
143,0
1676,6
1088,4
1105,4
1762,6
1313,4
961,3
1639,6
166,0
1314,5
932,3
1673,6
263,1
394,1
1679,6
1445,5
1329,5
1189,4
446,1
269,1
1087,4
1375,5
1245,4
1080,4
785,3
321,1
426,1
897,3
1651,6
1671,6
17,0
632,2
153,0
1852,6
996,4
1658,6
1304,4
1266,4
105,0
1890,7
674,2
551,2
1024,4
1431,5
1098,4
1146,4
1404,5
1546,6
338,1
51,0
437,1
220,1
1243,4
891,3
258,1
1129,4
801,3
1653,6
846,3
697,2
864,3
408,1
344,1
1348,5
1775,6
1940,7
1421,5
1506,5
786,3
1350,5
1069,4
360,1
1535,5
1379,5
1175,4
1885,7
209,1
794,3
1722,6
1381,5
389,1
650,2
586,2
658,2
37,0
413,1
1613,6
117,0
1126,4
316,1
1756,6
572,2
1033,4
1731,6
20,0
1711,6
178,0
181,1
292,1
598,2
722,3
1178,4
1501,5
196,1
1289,5
1826,6
1512,5
1879,7
970,3
710,2
469,2
1580,6
447,1
128,0
363,1
1109,4
1401,5
1488,5
422,1
1831,6
131,0
1369,5
1382,5
623,2
1534,5
420,1
1052,3
184,1
1571,6
1255,4
1429,5
1793,6
506,2
1099,4
714,2
1796,6
692,2
1436,5
1344,5
1844,6
1385,5
1210,4
15,0
613,2
488,1
873,3
514,1
1454,5
694,2
127,0
1072,4
478,1
758,2
254,1
866,3
575,2
642,2
175,1
1060,4
861,3
1021,4
741,2
126,0
1190,4
933,3
634,2
377,1
1461,5
637,2
981,3
1374,5
1750,6
1541,5
231,1
1130,4
334,1
1561,5
1745,6
908,3
1789,6
107,0
458,1
398,1
1089,4
1102,4
1660,6
511,2
1712,6
147,0
1113,4
525,2
1097,4
1825,6
1071,4
109,0
132,0
948,3
1011,3
1019,4
1755,6
1091,4
1214,4
1662,6
1223,4
1440,5
1860,6
1569,5
1888,7
737,2
1157,4
385,1
829,3
580,2
705,2
1906,7
869,3
396,1
133,0
499,2
648,2
1425,5
40,0
1111,4
1247,4
1466,5
381,1
1116,4
789,3
416,1
1669,6
1298,4
1895,7
1218,4
993,4
691,2
23,0
