Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1918,154.0,169.0,260124.0,260136.0,75.0,,,9948.0,125.0,143.0,1364.0,0.0,1.0,40.0,43799.11919446289,0.5833,0.8,0.011,0.5556,0.7059,0.0,1.8751,1.1761,1.0792,42027.62969274475,,38552.71761693785,6
809,1121.0,13763.34486979599,1789332.0,1789337.0,17.0,54696.688647375566,6.0,,115.0,150.0,97188.27782407231,0.0,1.0,,0.3412,48655.74325824671,80737.88190730392,0.0052,0.7778,0.8333,0.0,1.2305,0.8451,0.699,-0.2857,61257.836667953066,0.1441,3
681,41.0,216.0,21877.84551349422,2708939.0,41310.73629583203,70205.51463096765,134.0,654634.0,22846.780299907554,126.0,15712.796295052944,0.0,1.0,40.0,0.0604,40939.34778519179,0.3486,33085.12056332452,,0.4552,0.0,3.7992,2.243,1.7853,-0.6514,-0.1879,37333.989828599966,2
535,129.0,157.0,86408.0,86427.0,276.0,31804.91178860194,26.0,33858.0,115.0,58524.69589322447,1362.0,0.0,1.0,40.0,0.1894,0.4812,0.6786,0.0206,0.7179,0.7308,0.0,2.4409,43040.61092339775,1.2787,-0.3214,-0.0416,0.8223,2
193,436.0,442.0,530968.0,530985.0,14052.086839110589,17.0,17.0,24113.60367460591,90.0,116.0,1356.0,1.0,49838.47866054647,70.0,0.6431,0.3823,0.3529,0.0044,0.3529,1.0,88220.80552667823,1.7993,,52420.31649174324,,-0.2096,0.2083,1
576,39.0,196.0,590440.0,,6143.0,87093.98828046322,119.0,637317.0,45.0,36247.425627681274,1358.0,0.0,1.0,40.0,27679.12994645142,0.3789,,96705.68135555231,0.7929,0.5294,0.0,37461.10380524638,2.1959,1.7993,-0.5987,-0.1895,1.0,2
451,39.0,217.0,1359602.0,1359742.0,10276.0,552.0,319.0,1187807.0,25.0,44553.26811141896,1400.0,0.0,1.0,40.0,0.0557,0.5876,0.7865,0.1271,,0.4389,0.0,4.0118,2.2504,97851.72982155209,71339.88641516819,-0.097,1.0,2
583,87512.03581806895,200.0,39712.41048390852,696948.0,9979.972100906032,,129.0,626256.0,45.0,62425.965524669606,1358.0,0.0,1.0,40.0,0.0633,0.397,0.4076,54980.26622327763,20019.301155379566,0.4961,0.0,3.7824,2.1959,1.8062,-0.5924,-0.1925,12711.125553627235,2
758,772.0,777.0,1436089.0,1436092.0,11.0,64938.999290870604,,1398.0,111.0,65321.03936197563,1358.0,67061.20579035106,1.0,50.0,0.8557,0.2667,0.6,0.0037,1.0,1.0,0.0,1.0414,0.699,41007.22140591163,-0.4,99126.33751124705,0.1284,3
603,42832.55736405427,212.0,3120.585405575516,1505982.0,6494.0,315.0,145.0,671353.0,38.0,127.0,1356.0,0.0,4911.3284045802175,40.0,0.0605,0.4332,0.3918,0.1261,26662.57491182895,74376.69884169931,0.0,3.8125,2.233,1.8261,-0.6082,,96244.3673456289,2
1461,843.0,852.0,6712.0,6724.0,84042.20170851985,14.0,12.0,9016.0,82.0,,1356.0,0.0,1.0,40.0,0.7434,0.0926,64620.43584313355,0.0066,0.6429,34169.3019832118,1.0,1.9912,0.9542,1.0792,0.25,-0.2813,69193.0496279117,6
